id,type,name,creator,starring,year,rating,time,genres,country
81198984,Movie,Snake Eyes: G.I. Joe Origins,,"Henry Golding, Andrew Koji, Úrsula Corberó",2021,TV-PG,122 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81004276,Movie,Bumblebee,,"Hailee Steinfeld, John Cena, Jorge Lendeborg Jr.",2018,TV-PG,115 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
80117445,Movie,Assassin's Creed,,"Michael Fassbender, Marion Cotillard, Jeremy Irons",2016,TV-PG,115 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
80052541,Movie,The Last Witch Hunter,,"Vin Diesel, Rose Leslie, Elijah Wood",2015,TV-14,106 min,Action & Adventure Movies,United States
80167481,Movie,How It Ends,,"Theo James, Forest Whitaker, Kat Graham",2018,TV-14,113 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81010972,Movie,Hellboy,,"David Harbour, Milla Jovovich, Ian McShane",2019,TV-MA,120 min,Action & Adventure Movies,United States
70275284,Movie,Seventh Son,,"Jeff Bridges, Ben Barnes, Julianne Moore",2014,TV-14,102 min,"Movies Based on Books ,Action & Adventure Movies ",United States
80203059,Movie,Pacific Rim: Uprising,,"John Boyega, Scott Eastwood, Charlie Day",2018,TV-PG,110 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
81074110,Movie,Outside the Wire,,"Anthony Mackie, Damson Idris, Emily Beecham",2021,TV-MA,115 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
70293702,Movie,The Amazing Spider-Man 2,,"Andrew Garfield, Emma Stone, Jamie Foxx",2014,TV-PG,141 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
70299855,Movie,Transformers: Age of Extinction,,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer",2014,TV-PG,166 min,"Sci-Fi Movies ,Action & Adventure Movies ",United States
70270364,Movie,Snowpiercer,,"Chris Evans, Song Kang-ho, Ed Harris",2013,TV-MA,125 min,"Sci-Fi Movies ,Action & Adventure Movies",South Korea
80185760,Movie,Blade Runner 2049,,"Ryan Gosling, Harrison Ford, Ana de Armas",2017,TV-MA,163 min,"Sci-Fi Movies ,Crime Movies ,Drama Movies ,Action & Adventure Movies ",United States
80204465,Movie,Project Power,,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback",2020,TV-14,113 min,"Sci-Fi Movies ,Crime Movies ,Action & Adventure Movies ",United States
80198975,Movie,The Last Days of American Crime,,"Edgar Ramírez, Michael Pitt, Anna Brewster",2020,TV-MA,149 min,"Sci-Fi Movies ,Crime Movies ,Drama Movies ,Independent Movies ,Action & Adventure Movies ",United States
80236421,Movie,Extinction,,"Michael Peña, Lizzy Caplan, Israel Broussard",2018,TV-14,95 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies ",United States
81001991,Movie,Altered Carbon: Resleeved,,"Tatsuhisa Suzuki, Rina Sato, Ayaka Asai",2020,TV-MA,74 min,"Action Anime ,Sci-Fi Movies ,Mystery & Thriller Anime ,Movies Based on Books ,Action & Adventure Movies ,Sci-Fi Anime ,Anime Movies",Japan
81453003,Movie,How I Became a Superhero,,"Pio Marmaï, Vimala Pons, Benoît Poelvoorde",2021,TV-PG,101 min,"Sci-Fi Movies ,Crime Movies ,Drama Movies ,Movies Based on Books ,Action & Adventure Movies",France
80100171,Movie,Psycho-Pass: The Movie,,"Kana Hanazawa, Tomokazu Seki, Kenji Nojima",2015,TV-MA,113 min,"Action Anime ,Sci-Fi Movies ,Mystery & Thriller Anime ,Crime Movies ,Action & Adventure Movies ,Sci-Fi Anime ,Anime Movies",Japan
80218556,Movie,Tam Cam: The Untold Story,,"Isaac, Lan Ngoc, Huu Chau",2016,TV-PG,115 min,"Drama Movies ,Period Pieces ,Action & Adventure Movies",Vietnam
80097691,Movie,The Monkey King 2,,"Aaron Kwok, Gong Li, Feng Shaofeng",2016,TV-PG,118 min,"Martial Arts Movies ,Movies Based on Books ,Action & Adventure Movies ",China
80226333,Movie,Wu Kong,,"Eddie Peng, Shawn Yue, Ni Ni",2017,TV-14,123 min,"Martial Arts Movies ,Movies Based on Books ,Period Pieces ,Action & Adventure Movies ",China
81710853,Movie,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,,"Miho Okasaki, Yuma Uchida, Riko Fukumoto",2022,TV-14,108 min,"Action Anime ,Movies Based on Books ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan
80214451,Movie,Along with the Gods: The Two Worlds,,"Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon",2017,TV-14,139 min,"Drama Movies ,Action & Adventure Movies",South Korea
81386963,Movie,The Yin-Yang Master: Dream Of Eternity,,"Mark Chao, Deng Lun, Wang Ziwen",2021,TV-14,132 min,"Mystery Movies ,Movies Based on Books ,Action & Adventure Movies ",China
81602834,Movie,Jujutsu Kaisen 0: The Movie,,"Megumi Ogata, Yuichi Nakamura, Koki Uchiyama",2021,TV-14,104 min,"Action Anime ,Fantasy Anime ,Action & Adventure Movies ,Anime Movies",Japan
81504698,Movie,Green Snake,,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao",2021,TV-PG,133 min,"Adult Animation ,Action & Adventure Movies ",China
80226424,Movie,Psychokinesis,,"Ryu Seung-ryong, Shim Eun-kyung, Park Jeong-min",2018,TV-14,101 min,"Sci-Fi Movies ,Comedy Movies ,Action & Adventure Movies",South Korea
81441310,Movie,The Lost Dragod,,"Van Veronica Ngo, Petey Majik Nguyen, Lê Khánh",2015,TV-PG,99 min,"Romantic Comedy Movies ,Comedy Movies ,Romantic Movies ,Action & Adventure Movies",Vietnam
81613633,Movie,Leio,,"Golf Pichaya Nitipaisankul, Dhanantorn Neerasingh, Natthacha De Souza",2022,TV-14,108 min,Action & Adventure Movies,Thailand
70305930,Movie,The Hobbit: The Battle of the Five Armies,,"Ian McKellen, Martin Freeman, Richard Armitage",2014,TV-14,144 min,"Movies Based on Books ,Action & Adventure Movies ",United States
70307747,Movie,Once Upon a Time in Vietnam,,"Dustin Nguyen, Van Veronica Ngo, Roger Yuan",2013,TV-14,102 min,"Drama Movies ,Martial Arts Movies ,Action & Adventure Movies ,Social Issue Dramas",Vietnam
81266975,Movie,Fullmetal Alchemist The Revenge of Scar,,"Ryosuke Yamada, Tsubasa Honda, Dean Fujioka",2022,TV-PG,125 min,"Sci-Fi Movies ,Drama Movies ,Action & Adventure Movies",Japan
80118543,Movie,Kingsglaive: Final Fantasy XV,,"Aaron Paul, Lena Headey, Sean Bean",2016,TV-14,115 min,"Adult Animation ,Sci-Fi Movies ,Action & Adventure Movies ",United States
80067831,Movie,The 5th Wave,,"Chloë Grace Moretz, Nick Robinson, Ron Livingston",2016,TV-14,112 min,"Sci-Fi Movies ,Movies Based on Books ,Action & Adventure Movies ",United States
81519291,Movie,Adipurush,,"Prabhas, Saif Ali Khan, Kriti Sanon",2023,TV-PG,177 min,"Movies Based on Books ,Action & Adventure Movies",India
81367834,Movie,Jade Dynasty,,"Xiao Zhan, Li Qin, Meng Meiqi",2019,TV-14,100 min,"Romantic Movies ,Movies Based on Books ,Action & Adventure Movies ",China
